dog breed,breed description
irish terrier,"The Irish terrier has a graceful, racy outline, with a moderately long body. It should not have the short back characteristic of so many of the long legged terriers. It is sturdy and strong in substance, but it is also active and lithe in movement. This is an all-round terrier that must combine speed, endurance, agility and power to perform a great variety of jobs. Its broken coat is dense and wiry, never so long as to obscure the body shape. Its expression, like its nature, is intense.Called the daredevil of dogdom, the Irish terrier is brash, bold, assertive, playful, inquisitive, independent, strong-willed and ever ready for action and adventure. It is usually aggressive toward other dogs and small animals and tends to be reserved with strangers. It likes to chase and run and hunt and explore; it needs daily physical and mental exercise in a safe area. Given sufficient exercise, it is surprisingly well-mannered and dignified indoors. It is a loyal and entertaining companion."
irish water spaniel,"Whether he's splashing after ducks or showing off in the agility ring, canines in the Irish Water Spaniel dog breed do everything with a sense of fun. Created in Ireland as a water retriever, he's rare these days, but makes an excellent companion for active and experienced dog owners especially if they live near a body of water."
irish wolfhound,"The tallest of the sighthounds, the Irish wolfhound resembles a rough-coated greyhound, although of more powerful build. Great size is especially valued in the breed. This combination of speed, power and size enables the Irish wolfhound to run down and overpower large prey. Despite its size, the breed should be gracefully built, its gait easy and active, and its head held proudly. The rough coat, which provides protection against the cold and damp, as well as its opponents' teeth, is especially wiry and long over the eyes and under the jaw.Aptly known as the gentle giant, the Irish wolfhound is a soft-natured, easygoing breed. It is calm around the house, sensitive, patient, easygoing and sweet. Despite its great size, it is good with children, pets and other dogs. It is reserved with strangers and courageous when the need arises."
italian greyhound,"Essentially a slender miniature greyhound, the Italian greyhound is exceptionally elegant and graceful. It embodies the same qualities that enable the full-sized greyhound to run at top speed using the double-suspension gallop: a curvaceous outline with a slight arch over the loin and good rear angulation. Its gait is high-stepping and free. The coat is short and glossy, like satin.A sighthound in a small package, the Italian greyhound shares its larger relatives' characteristics. It loves to run and chase. It is extremely gentle and sensitive. Reserved, often timid, with strangers, it is devoted to its family and is good with children, and other dogs and pets. However, it can be easily injured by boisterous children and larger dogs."
japanese spaniel,"Japanese spaniel, also called Japanese Chin , breed of toy dog that originated in China and was introduced to Japan, where it was kept by royalty. The breed became known in the West when Commodore Matthew Perry returned from Japan in 1853 with several dogs that had been presented to him. The Japanese spaniel is a compact, dainty-looking dog with large, dark eyes, a short muzzle, and a heavily plumed tail that curls over its back. It stands about 8 to 11 inches (20 to 28 cm) and weighs about 7 pounds (3 kg). Its full, straight, silky coat is black and white or reddish brown and white. The breed is valued as an alert, affectionate pet"
keeshond,"The Keeshond is an old dog breed, once a companion and watchdog on the barges and boats that traveled the canals and rivers of Holland in the 17th and 18th centuries. He's almost exclusively a companion dog today. He's a people-lover; willing to participate in all family activities, he thrives with people who expect this of their dog. He is lively, alert, and intelligent qualities that won him status as the most beloved dog in Holland."
kelpie,"A Kelpie can be a search and rescue dog, detection dog, hearing dog, assistance dog, or therapy dog. He's great at dog sports: agility, flyball, flying disc games, herding trials, obedience and tracking. A couple of long daily walks, jogs or hikes will also help to meet his need for activity. It takes a lot of time and effort to keep him occupied to his satisfaction."
kerry blue terrier,"This versatile breed has the build of a dog able to perform a variety of tasks, all requiring athletic ability. It can run, herd, trail, retrieve, swim and dispatch vermin the ideal all-around farm companion. In keeping with this, it is not exaggerated in build. It is an upstanding, long-legged terrier with a short back, displaying strong bones and muscle. Its coat is soft, dense, and wavy, and of a distinctive blue-gray color.A versatile terrier, the Kerry blue's personality is multifaceted. It can guard, hunt, herd or just be a fun-loving companion. It needs daily mental and physical activity in a safe area. It loves to run, chase, hunt, explore, play and dig. Indoors, it is well-mannered. It can be protective toward strangers yet greet verified friends with great enthusiasm. It is apt to be aggressive toward other dogs and small animals. It is clever and independent, often stubborn. Some tend to bark."
komondor,"The komondor is a large, muscular dog, with plenty of bone and substance; it is slightly longer than tall. Its gait is light and leisurely, with long strides. Its hallmark coat is double, consisting of a dense wooly undercoat and a coarser outer coat that is wavy or curly. The undercoat is trapped in the outer coat so that it forms strong, felty, tassel-like cords. This coat helped protect the dog from the elements as well as the teeth of tough adversaries. It also helped the dog to blend in with its flock.The Komondor, being naturally wary of strangers, makes an excellent house guard dog. They are devoted to their master and will defend him against attack by any stranger. This trait makes it advisable that the dog only be used as a herd/flock guardian/protector, not for driving. When mature, the breed is an earnest, courageous, very faithful herd/flock guardian. While a puppy, the Komondor is playful."
kuvasz,"The kuvasz is a large dog, slightly longer than tall, and medium-boned. It is not bulky, but instead light-footed, with a free, easy gait. The breed's combination of power and agility stems from its versatile roots as a guardian, hunter and herder. Its double coat is medium-coarse, ranging from wavy to straight.Despite its sweet looks, the kuvasz is a tough protector, fearlessly defending its family or home. It is gentle with and protective of children in its own family, but it may misinterpret a child's rough-and-tumble games with other children as attacks on its child. It is reserved with strangers and may be aggressive toward strange dogs; however, it tends to be very gentle with other pets and livestock. It is devoted and loyal but not very demonstrative. Some can be domineering."
labrador retriever,"The Labrador Retriever is a medium-sized, short-coupled, powerfully-built dog with a short, dense, water-resistant coat; small, drop ears; and a short, thick otter-like tail carried level with the back or with a slight upward curve. The length of body is equal to or only slightly longer than the height at the withers, and the distance from the elbows to the ground is equal to one-half the height at the withers. Balance, outline, intelligence, temperament and movement are of overriding importance. The Labrador Retriever is a breed of moderation, thoroughly sound, and willing and able to do its work. The Labrador Retriever is a dog without exaggeration, so light, weedy dogs; long, low-stationed dogs; and cloddy, lumbering dogs are to be equally penalized. The Labrador Retriever should be evaluated as a working gun dog, and exaggerations or faults should be penalized in proportion to how much they interfere with the dog's ability to work.The Labrador Retriever is an enthusiastic hunter with a good nose and a soft mouth. They excel in all performance activities. Another essential characteristic of the Labrador Retriever is the short, dense, double coat that protects the dog when retrieving from water. The short, otter tail is another distinctive feature of this breed. Labrador Retrievers are noted for their excellent temperaments. This breed is friendly, outgoing and eager to please. They are extremely intelligent and easily trained to perform a variety of complex tasks."
lakeland terrier,"The Lakeland terrier is a rather small dog of short-backed, square proportion with a sturdy, workmanlike build. Its legs are fairly long, enabling it to run at good speed and traverse the rugged shale terrain of its native mountain countryside. Its gait is smooth and ground-covering, with good reach and drive. Its body is deep and narrow, allowing it to squeeze through small passages after its quarry. Its expression reflects its mood, ranging from intense to gay or impish. Its double coat consists of a soft undercoat and a hard, wiry outer coat.The spunky Lakeland makes the most of every day, always busy investigating, playing and, if it really gets its wish, hunting, running and chasing. Given daily exercise in a safe area, it settles down in the home and makes an entertaining and endearing house pet. It is reserved with strangers and usually aggressive toward other dogs and small animals. Clever, independent and stubborn, it can be mischievous. It is nonetheless sensitive and must be trained with patience as well as a sense of humor."
leonberg,"This jumbo-sized dog breed is a mix of Newfie, longhaired Saint Bernard, and Great Pyrenees. He needs a good deal of exercise, attention, and space, but with the right owner, he can be a friend like no other. With his lion-like looks and deep bark, he makes an intimidating watch dog."
lhasa,"The Lhasa Apso dog breed is originally from Tibet, where he was a highly regarded watchdog in the palaces and monasteries of his mountainous homeland. Today's Lhasa is no longer a palace guard but primarily a family companion who loyally protects his family from danger. Though small in stature, the Lhasa is a sturdy and independent dog."
malamute,"The Alaskan Malamute features a powerful, sturdy body built for stamina and strength. It reigns as one of the oldest dog breeds whose original looks have not been significantly altered. This intelligent canine needs a job and consistent leadership to avoid becoming bored or challenging to handle."
malinois,"Canines of the Belgian Malinois dog breed were originally bred to be herding dogs. Today, they also work as police dogs, protection dogs, and family companions. In the hands of an experienced dog person, they are intense, intelligent and athletic companions."
maltese dog,"A dog breed who's gentle and fearless, the Maltese greets everyone as a friend. His glamorous white coat gives him a look of haughty nobility, but looks can be deceiving. This is a sprightly, vigorous dog who excels not only as a companion but also as a therapy dog and competitor in such dog sports as agility, obedience, rally, and tracking. But most of all, he loves to be with his people."
mexican hairless,"It is also known as Xoloitzcuintli, and is one of several breeds of hairless dog. One of the world's oldest and rarest breeds, the Xoloitzcuintli can justly be called the first dog of the Americas. Archaeological evidence indicates that Xolos accompanied man on his first migrations across the Bering Straits. Their name is derived from the name of the Aztec Indian god Xolotl and Itzcuintli, the Aztec word for dog. With a reputation as a healer, the breed and its warm skin is often put to use in remote Mexican and Central American villages to ward off and cure ailments like rheumatism, asthma, toothache and insomnia. Xolos were also believed to safeguard the home from evil spirits and intruders."
miniature pinscher,"The square-proportioned miniature pinscher has a compact, sturdy body with moderate tuck up and sort coupling. Its hallmark traits are its spirited animation, complete self-possession and high-stepping hackney gait. It is upstanding and alert. The coat is smooth, hard and short. It is among the most athletic of toy breeds.Among the most energetic of all breeds, the min pin is a perpetual motion machine. It is busy, inquisitive, playful, bold and brash. It retains terrier-like traits and tends to be stubborn and independent. It can be scrappy with other dogs and may chase small animals. It is reserved with strangers."
miniature poodle,"Elegant. Proud. Clever. Poodles are impressive dogs, as the many best-in-show winners from this dog breed can attest. Behind the blue ribbons, impressive hairdos, and regal attitude, you'll find an affectionate family dog with an ancient history and many talents."
miniature schnauzer,"The miniature schnauzer is a robust, sturdily built terrier of nearly square proportion. It was developed as a ratter and is quick and tough. Its gait displays good reach and drive. Its coat is double, with a close undercoat, and hard, wiry, outer coat which is longer on the legs, muzzle and eyebrows. Its facial furnishings add to its keen expression.The miniature schnauzer deserves its place as one of the most popular terrier pets. It is playful, inquisitive, alert, spunky and companionable. It is a well-mannered house dog that also enjoys being in the middle of activities. It is less domineering than the larger schnauzers and less dog-aggressive than most terriers. It is also better with other animals than most terriers, although it will gladly give chase. It is clever and can be stubborn, but it is generally biddable. It enjoys children. Some may bark a lot."
newfoundland,"The Newfoundland is a large, heavy-boned, powerful dog that is strong enough to pull a drowning man from rough seas and imposing enough to make an effective guard dog. It is slightly longer than it is tall. Its gait gives the impression of effortless power, with good reach and drive. Its double coat consists of a soft, dense undercoat and a coarse, moderately long and straight outer coat. Its soft expression reflects its benevolent and dignified temperament.The Newfoundland dog is known for its calm and docile nature and its strength. They are highly loyal and make ideal working dogs. It is for this reason that this breed is known as ""the gentle giant"". International kennel clubs generally describe the breed as having a sweet temper. It typically has a deep bark, and is easy to train if started young. They are wonderfully good with children, but small children can get accidentally leaned on and knocked down. Newfoundlands are ideal companions in the world of therapy and are often referred to as the nanny dog. The breed was memorialized in ""Nana"", the beloved guardian dog in J.M. Barrie's Peter Pan. The Newfoundland in general is good with other animals, but its size can cause problems if it is not trained."
norfolk terrier,"Unlike the Norwich terrier, the Norfolk is slightly longer than it is tall. Like the Norwich, it is a formidable adversary to vermin and fox and can bolt and dispatch its quarry working along or with a pack. It is small, short-legged and compact, with good bone and substance. Its gait is low and driving. Its double coat is weather resistant, with the outer coat consisting of hard, wiry, straight hair about 1 to 2 inches long, with a longer ruff. It wears a keen, intelligent expression.Feisty, bold, inquisitive, game, scrappy, stubborn and independent, the Norfolk is all terrier. It has been called a ""demon"" in the field, and it loves to hunt, dig and investigate. It must be exercised in a safe area. It is clever and amiable but strong-willed."
norwegian elkhound,"A typical Northern spitz-like breed, the Norwegian elkhound is square-proportioned, close coupled, with substantial bone, broad head, pricked ears and tightly curled tail. It is constructed for agility and endurance, rather than speed, enabling it to trail for hours and then hold big game at bay by barking and dodging attack. Its trot is effortless. It has a thick, smooth-lying coat consisting of straight outer hairs and a wooly undercoat. This combination presents the best protection against cold and snow.The Norwegian elkhound combines traits of hounds and spitz-like dogs, resulting in a breed that is bold, playful, independent, alert, boisterous and unlike most hounds even protective. This is a dog ready for adventure and happiest if that adventure takes place outdoors in cold weather. It needs daily exercise, lest it become frustrated or even destructive. It is friendly with strangers but may quarrel with strange dogs. It tends to pull when on leash unless trained, and it may bark a lot."
norwich terrier,"This spirited dog, one of the smallest of the working terriers, is sturdy and stocky, of square proportion. Its small size is an asset when following vermin or fox down tight passageways. Its teeth are large, to aid in dispatching its quarry. It shows great power in its movement. The tail should be long enough to grasp firmly, so that the dog can be pulled from a hole. The double coat has a hard, wiry and straight outer coat that lies close to the body and is thicker around the mane for protection. The dog bears a slightly foxy expression.The Norwich terrier, like the Norfolk, is a true terrier at heart, always ready for adventure and excitement. It is a hunter and may chase small animals. It is a pert, independent, amusing but sometimes challenging companion, best suited for people with a sense of adventure and humor."
old english sheepdog,"This is a square-proportioned, thick-set dog, combining agility with strength. Its compact body is broader at the rump than shoulders. A distinguishing characteristic is the top-line, which is lower at the withers than the loin. Its gait is free, powerful and ground-covering, yet gives the appearance of being effortless. This breed may pace or amble at slower speeds. Its ambling gait is sometimes described as a ""bearlike"" roll or shuffle. The coat is profuse, but not excessive. It consists of a waterproof undercoat and a hard, shaggy outer coat that is neither straight nor curly. The expression is intelligent. The bobtail's bark should be loud, with a ""pot-casse"" ring to it.The breed standards describe the ideal Old English Sheepdog as never being nervous or aggressive. The New Zealand Kennel Club adds that ""they are sometimes couch potatoes"" and ""may even try to herd children by gently bumping them."" This breed's temperament can be described as intelligent, social and adaptable. The American Kennel Club adds that the breed has ""a clownish energy"" and ""may try to herd people or other objects."" With wide open spaces being the ideal setting for an Old English Sheepdog, the breed is a natural fit in a rural setting, such as working on a farm; although, with proper exercise and training, they are perfectly comfortable with a suburban or urban lifestyle. Their remarkable, inherent herding instincts, sense of duty, and sense of property boundaries may be nurtured and encouraged accordingly, or subdued by their owners. Old English Sheepdogs should not be deprived of the company and the warmth of people."
otterhound,"The otterhound is a large dog with a somewhat stocky build, slightly longer than tall, not exaggerated in any way, enabling it to trot at a slow, steady pace for long distances without tiring. Its coat, which consists of a rough, coarse outer coat combined with a soft wooly slightly oily undercoat, is essential for protecting it from brambles and cold water. It has a fairly large nose and muzzle, allowing ample room for olfactory receptors. Its large feet provide traction over rough and slippery terrain. This is a strong athletic breed that can withstand harsh weather and long strenuous hunts. Its expression is open and amiable, reflecting its temperament. The otterhound is noted for its steadfast pursuit of its quarry despite the roughest of conditions. It has an acute sense of smell and can trail unerringly through running water and over all sorts of terrain.As a pack hound, the otterhound is amiable with other dogs. As a hunter, it has an innate urge to follow the trails of mammals. Once on the trail, it is determined, single-minded and nearly impossible to dissuade from its task. Even though the otterhound's job was not to kill its quarry, it will nonetheless give chase to small animals. The otterhound loves to hunt, sniff, trail and, especially, swim. At home it is boisterous, amiable and easygoing (although stubborn), affectionate with its family, and quite good with children. Because the otterhound was never traditionally kept as a pet, it is not among the most responsive of breeds. However, the otterhound is a low-key dog that can function as a quiet companion."
papillon,"The Papillon dog breed descends from the toy spaniels that are frequently portrayed in paintings by the Old Masters, from as far back as the 16th century. He's highly active and is a wonderful competitor in agility and obedience. His sparkling personality makes him a favorite of all who meet him."
pekinese,"The Pekingese is a compact dog with a pear-shaped body, heavy forequarters and lighter hindquarters. It is slightly longer than it is tall, with a stocky, heavy build. Its image is lionlike. It should imply courage, boldness and self-esteem rather than prettiness, daintiness or delicacy. Its gait is dignified and unhurried, with a slight roll resulting from its wider, heavier forequarters. It has a thick undercoat, and its outer coat is long, coarse and straight, and stands off. It forms a mane around the shoulders. The Pekingese must suggest its Chinese origins in its lionlike appearance, bold and direct character, and distinctive expression.The Pekingese is decidedly not a sissy lap dog. It is a courageous character that will not start a fight but will not back down from one either. It tends to be aloof around strangers. It is extremely devoted to its family, but it is independent and not overly demonstrative. Its stubbornness is legendary. Although playful around family members, it may not be athletic or playful enough to satisfy many children."
pembroke,"Low-set, strong and sturdily built, the Pembroke Welsh Corgi gives an impression of substance in a small space. He is one of the most agreeable small house dogs, as well as an avid competitor in many dog sports, including conformation, herding and obedience. The Pembroke Corgi is a separate breed from the Cardigan Corgi, possessing a shorter body and straighter, lighter boned legs. His ears are pointed at the tip and stand erect, and he has a short tail. The coat can be red, sable, fawn, black and tan with or without white markings."
pomeranian,"The Pomeranian is a small, square-proportioned, miniature spitz with a cobby, rounded body. It shares the spitz characteristics of small ears, double coat and curled tail. It has an alert, foxlike expression. Its gait is smooth and free with good reach and drive. The soft thick undercoat combined with the longer harsh outer coat, standing off from the body, combine to give the dog a unique puffy appearance. This look is further accentuated by the thick ruff and a head carriage that is naturally up-gazing.Bouncy, bold and busy, the Pomeranian makes the most of every day. It is curious, playful, self-confident (even cocky) and attentive, ever ready for a game or adventure. It is reserved toward strangers. Some can be aggressive toward other dogs. Some bark a lot."
pug,"Square-proportioned, compact and of a cobby build, the pug is a large dog in a little space. Its gait is strong and jaunty, but with a slight roll of the hindquarters. Its distinctive expression is soft and solicitous. Its forehead has large, deep wrinkles. Its coat is fine, smooth and short.The breed is often described by the Latin phrase multum in parvo, or ""much in little"" or ""a lot of dog in a small space"", alluding to the Pug's remarkable and charming personality, despite its small size. Pugs are strong willed but rarely aggressive, and are suitable for families with children. The majority of the breed is very fond of children and sturdy enough to properly play with them. Depending on their owner's mood, they can be quiet and docile but also vivacious and teasing. Pugs tend to be intuitive and sensitive to the moods of their owners and are usually eager to please them. Pugs tend to have a somewhat lazy nature and spend a lot of time napping. They are often called ""shadows"" because they follow their owners around and like to stay close to the action, craving attention and affection from their owners."
redbone,"Hunted from swamplands to mountains, the Redbone is surefooted and swift, even on the most difficult terrain. Well-balanced, with a flashy red coat and excellent cold nose, the powerfully built Redbone mingles handsome looks with a confident air and fine hunting talents."
rhodesian ridgeback,"Slightly longer than tall, the Rhodesian Ridgeback combines speed, power and endurance. The Ridgeback must have an athletic build to enable it to catch up to a lion and then harass it without being hurt. Because the lion is not the only quarry of the Ridgeback, the dog must also be strong enough to bring down other large game. Its stride is efficient and long. The short glossy coat is adapted for working in hot climates. A distinctive feature is the clearly defined ridge, which should start with two identical whorls just behind the shoulders and taper to a point between the hipbones.The Rhodesian Ridgeback is the hound group's answer to a somewhat protective dog. Not only is it a keen and versatile hunter, but it is a loyal guardian. It is good with children, especially protective of those in its family, but it is sometimes overly boisterous in play for small children. It is strong-willed and powerful; some can become domineering. It is reserved with strangers and can be aggressive toward strange dogs and animals."
rottweiler,"The Rottweiler is a medium-large breed, slightly longer than it is tall and robust with a powerful, substantial build. It combines the abilities necessary to drive cattle for long distances as well as serve as a formidable guard dog jobs that entail great strength, agility and endurance. Its trot is sure and powerful, with strong reach and drive. Its coat is straight, coarse and dense. Its expression reflects the Rottweiler at its best noble, alert and self-assured.Confident, bold, alert and imposing, the Rottweiler is a popular choice for its ability to protect. As befitting its self-assured nature, it tends to be headstrong and stubborn and is often domineering. It is reserved, often wary, toward strangers. It may be overly protective if it perceives that its family is being threatened, and it may also attempt to ""herd"" children. This is a powerful breed that needs socialization, consistent training and daily exercise to be the best it can be a loyal family member and guardian."
saint bernard,"Originally the Saint Bernard dog breed was used to guard the grounds of Switzerland's Hospice Saint Bernard as well as to help find and save lost and injured travelers. Today the St. Bernard enjoys the comforts of family life in many homes across the world. He is versatile and excels in the show ring and in obedience trials, drafting (pulling a cart or wagon), and weight pulling competitions."
saluki,"The Saluki has a general greyhound-like build and should combine grace, symmetry, great speed and endurance. Likwise, it should have the strength to enable it to kill gazelle or other quarry over deep sand or rocky mountains. Its expression should be dignified and gentle, with deep, faithful, far-seeing eyes. Its movement is light. The coat is smooth and silky; the feathered variety has long hair on its ears, tail, between its toes and sometimes on the backs of its legs; the smooth variety has no long feathering. This breed has a wide range of equally acceptable types, reflecting the wide area over which it was developed.The Saluki tends to be aloof and reserved with strangers. It is extremely devoted to its own family, but it is not particularly demonstrative. The Saluki is very gentle with children, but it may not be playful enough to satisfy most of them. Extremely sensitive, it does not take to rough-and-tumble play or deal well with harsh corrections. Some Salukis can be shy. This breed is very quiet and sedate indoors, seeking out a soft, warm spot. Outside, it runs in great circles at tremendous speeds and will chase any small running animals or fast-moving objects. It may not come when called."
samoyed,"The Samoyed combines strength, agility, dignity and grace in a general spitz outline. Slightly longer than it is tall, it is nonetheless compact. It has a strong, muscular body that is able to combine power, speed, agility and endurance. It has a quick, agile stride with good reach and drive. Its double coat is heavy and weather resistant. The undercoat is soft and thick, whereas the outer coat is straight and harsh, standing straight out from the body, and glistening with a silver sheen. Its expression is animated, with the characteristic ""Samoyed smile"" created by the upturned corners of its mouth.Gentle and playful, the Samoyed makes a good companion for a child or person of any age. It is a closely bonded family dog. It is amiable with strangers, other pets and usually, other dogs. It is calm indoors, but this clever, sometimes mischievous breed needs daily physical and mental exercise. If allowed to become bored, it will dig and bark. It is independent and often stubborn, but it is willing to please and is responsive to its owner's wishes. It may tend to herd children."
schipperke,"Curious and clever, the Schipperke dog breed is often nicknamed LBD, for little black devil. He's fearless and devoted, always on guard to protect his family from harm. His small size and easy-care coat are attractive qualities, but his intelligence and curiosity can lead him into trouble."
scotch terrier,"The Scottish terrier is a short-legged, compact, relatively heavy-boned dog, giving the impression of great power in a small package. This combination is essential in a dog that must meet tough adversaries in tight spaces. Its coat is a combination of dense undercoat and extremely hardy and wiry outer coat, about 2 inches in length. The distinctive eyebrows and beard add to its expression, which is keen and sharp.Nicknamed the Diehard in reference to its rugged character, the Scottish terrier is a tough, determined character, ready for action. It is fearless and feisty and may be aggressive toward other dogs and animals. It is reserved, but friendly, with strangers, and devoted to its family. Although independent and stubborn, it is sensitive. It tends to dig and bark."
scottish deerhound,"The Scottish deerhound has a body like that of a greyhound but is of larger size and bone, enabling it to run at great speed using the double-suspension gallop without sacrificing strength and endurance. Its trotting gait is easy and true. Its hair is harsh and crisp, about 3 to 4 inches long on the body, ideally close-lying. Such a coat imparts a weather- (and dirt-) resistant quality, an essential asset in cold, damp climates.The Scottish deerhound is mellow, low-key and easygoing a gracious and well-mannered addition to the home. Outdoors, it loves to run and chase anything that moves. Indoors, it needs plenty of room to stretch on a soft surface. The deerhound is independent but willing to please; it is extremely sensitive. It is amiable toward, but often reserved with, strangers. This breed is good with children, other dogs and usually other pets, although it may give chase to strange animals."
sealyham terrier,"The Sealyham terrier is a short-legged terrier, slightly longer than it is tall. Its body is strong, short-coupled and substantial, allowing for plenty of flexibility. This combination of short legs with a strong and flexible body allows the Sealyham to maneuver in tight quarters. Its weather-resistant coat consists of a soft, dense undercoat and a hard, wiry outer coat. This is a keen, alert and determined breed and should look the part.One of the calmer terriers, the Sealyham is nonetheless ready for action, always happy to investigate, dig or give chase. It is often aggressive toward other dogs or pets. It is a well-mannered house dog but needs some daily exercise. It is reserved with strangers, but devoted to its family. It is stubborn and independent. It digs and barks."
shetland sheepdog,"The Shetland sheepdog is a medium, agile dog, longer than it is tall. Its gait is smooth, effortless and ground-covering, imparting good agility, speed and endurance essential in a herding dog. It has a double coat, with a short, dense undercoat and a long, straight, harsh outer coat. The hair of the mane, frill and tail is abundant. Its expression is gentle, intelligent and questioning. Although it resembles a rough collie in miniature, subtle differences distinguish the breeds.The Shetland sheepdog is extremely bright, sensitive and willing to please. This combination makes for a dog that is very obedient, quick to learn and utterly devoted to its family. It is not only gentle, playful, amiable and companionable, but also excellent with children, although it can nip at heels in play. It is reserved and often timid toward strangers. It barks a lot."
shih-tzu,"Compact, yet slightly longer than it is tall, the Shih Tzu hides a sturdy body beneath its mantle of luxurious hair. It has a smooth, effortless stride with good reach and drive. Even though its function is that of companion, it should nonetheless be structurally sound. Its expression is warm, sweet and wide-eyed, imparting the impression of trust and friendliness. The long, dense coat is double and fairly straight.The spunky but sweet Shih Tzu is both a gentle lap dog and a vivacious companion. It has an upbeat attitude and loves to play and romp. It is affectionate to its family and good with children. It is surprisingly tough and does have a stubborn streak."
siberian husky,"The Siberian husky combines power, speed and endurance, enabling it to carry a light load at moderate speed over a great distance. It is moderately compact, slightly longer than it is tall, and of definite Northern heritage. It is quick and light on its feet, with a smooth and effortless stride exhibiting both good reach and drive. It has a double coat of medium length, with a soft, dense undercoat and a straight, somewhat flat-lying outer coat. Its expression is keen but friendly, interested and even mischievous.Fun-loving, adventurous, alert, independent, clever, stubborn, mischievous and obstinate  all describe the Siberian husky. This breed loves to run and will roam if given the chance. It may be aggressive toward strange dogs, but it is generally good with other household dogs. In fact, it is a very social dog that must have human or canine companionship. It may chase strange cats or livestock. Some howl, dig and chew."
silky terrier,"The Silky Terrier dog breed exemplifies the expression small dog, big personality. Weighing just eight to 10 pounds when full grown, he is tough and confident, perhaps because of his heritage as a hunter of small prey. Beneath the feistiness, however, is a loving companion dog who loves to stick close to his person."
soft-coated wheaten terrier,"Sturdy and fun loving, the Soft Coated Wheaten dog breed is a friend to one and all. He's relatively easygoing for a terrier, needs a moderate amount of exercise, and can make a great family dog. That soft, silky coat needs a lot of grooming, however, and the Wheaten can occasionally be hard headed when it comes to training."
staffordshire bullterrier,"The Stafford is slightly longer than it is tall, and relatively wide, giving it a low center of gravity and firm stance. Its small size imparts a surprising agility, while its heavy musculature provides great strength. The wide head provides ample room for attachment of jaw muscles. Its gait should be powerful and agile. Its coat is smooth, short and close.The Staffordshire bull terrier is a fun-loving character that loves playing with its family and friends. It is typically playful, companionable, amiable, docile and generally responsive to its owner's wishes. Its love of a good game is rivaled only by its need for human companionship. It is also characteristically friendly toward strangers. Some can be strong-willed. Although it doesn't usually look for a fight, it is fearless and tenacious. It may not do well around strange dogs or sometimes even household dogs that challenge it. It is generally very good with children; although usually gentle, some can be rambunctious. In the United Kingdom the Stafford is known as the Nanny Dog, in reference to its eagerness and ability to assume the role of a child's nursemaid."
standard poodle,"The Poodle, though often equated to the beauty with no brains, is exceptionally smart, active and excels in obedience training. The breed comes in three size varieties, which may contribute to why Poodle is one of the most popular breeds according to AKC Registration statistics. Poodles can be a variety of solid colors, including white, black, apricot and gray, but never parti-colored."
standard schnauzer,"This is a robust, sturdily built, heavyset dog of square proportion. It is both strong and agile, enabling it to perform as both a guard and ratter. Its stride is quick, powerful and ground-covering. Its coat is hard, wiry and thick, with a soft undercoat. Its hallmark whiskers, mustache and eyebrows add to its alert, spirited expression.Bold and lively, the standard schnauzer is a fun-loving companion and guardian. It is clever and headstrong, and unless given daily physical and mental exercise, it can be mischievous. It does best with a firm, patient owner. It is a devoted family dog and very reliable with children. It is good with other family pets, but it can be aggressive toward strange dogs, animals or rodents. It is reserved with strangers, sometimes acting suspicious and protective."
sussex spaniel,"The long, low, ""rectangular"" body, coupled with a muscular and rather massive physique, allows the Sussex to penetrate dense cover when hunting. Its movement is deliberate and rolling because of its short legs and comparatively wide body, a gait that emphasizes power over speed. The abundant body coat is flat or slightly wavy, giving protection from thorns. A distinctive feature is the long feather between the toes, which should be long enough to cover the toenails. The expression is somber and serious, even frowning, but the wagging tail belies its true nature. The Sussex tends to bark when hunting, which helps the hunter locate it in thick cover.The Sussex spaniel tends to be less playful and demonstrative than other spaniels, with a lower energy level. This makes it better suited for city life, but it still appreciates the chance to take to the wilds and hunt up birds. It tends to bark when hunting, which has made it less popular with hunters than other breeds; some also bark or howl when not hunting. At home it is calm, steady and easygoing, although it may be aggressive to strange dogs. Its somber expression is misleading because it is quite cheerful."
tibetan mastiff,"A powerful, heavy, but athletic dog, the Tibetan Mastiff is built to combine strength and agility. Its body is slightly longer than tall. Its walk is slow and deliberate, while its trot is powerful and light-footed. The whole appearance is impressive, with a solemn but kindly expression. The coat, which is noticeably heavier in males than in females, is thick and fairly long, especially around the neck and shoulders. The tail is densely coated and the hind legs well feathered on the upper parts. The hair is coarse, straight and hard, standing off from the body. It carries a heavy undercoat in cold weather, but little undercoat in warm weather. This combination of coat types allows the Tibetan Mastiff to endure the extremes of Tibetan weather.As befitting their long past as a solitary sentry and protector, Tibetan Mastiffs are independent, strong willed, and territorial. They are aloof toward strangers but devoted to their family. Proper socialization is essential so that they will accept strangers and not become overly suspicious. They are gentle and patient with their children, but may guard their home against visiting children who may appear to be threatening the family children. They are generally good with other dogs and are rarely dog aggressive. (In Tibet, they were often kept with Lhasa Apsos.) Most Tibetan Mastiffs are good with other animals."
tibetan terrier,The Tibetan Terriers dog breed was created to be companions and friends. They love being with people and are adaptable to a variety of homes and lifestyles. Their shaggy coat is attractive but requires frequent grooming.
